Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1697923554,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1697923555,1,POST,/api/v0/user/adventures,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,320.2382499584928,320.2382499584928,320.2382499584928,320.2382499584928,61.0
1697923555,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,320.2382499584928,320.2382499584928,320.2382499584928,320.2382499584928,61.0
1697923556,2,POST,/api/v0/user/adventures,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,320.2382499584928,320.2382499584928,320.2382499584928,320.2382499584928,61.0
1697923556,2,,Aggregated,0.000000,0.000000,320,320,320,320,320,320,320,320,320,320,320,1,0,320.2382499584928,320.2382499584928,320.2382499584928,320.2382499584928,61.0
1697923557,2,POST,/api/v0/user/adventures,0.000000,0.000000,250,250,250,250,250,250,250,250,250,250,250,2,0,250.36833301419392,285.30329148634337,250.36833301419392,320.2382499584928,61.0
1697923557,2,,Aggregated,0.000000,0.000000,320,320,320,320,320,320,320,320,320,320,320,2,0,250.36833301419392,285.30329148634337,250.36833301419392,320.2382499584928,61.0
1697923558,3,POST,/api/v0/user/adventures,0.000000,0.000000,250,250,250,250,250,250,250,250,250,250,250,3,0,250.0,213.87927765802792,71.03125000139698,320.2382499584928,61.0
1697923558,3,,Aggregated,0.000000,0.000000,250,250,320,320,320,320,320,320,320,320,320,3,0,250.0,213.87927765802792,71.03125000139698,320.2382499584928,61.0
1697923559,3,POST,/api/v0/user/adventures,0.666667,0.000000,250,250,260,260,260,260,260,260,260,260,260,4,0,250.0,225.6106249988079,71.03125000139698,320.2382499584928,61.0
1697923559,3,,Aggregated,0.666667,0.000000,260,260,320,320,320,320,320,320,320,320,320,4,0,250.0,225.6106249988079,71.03125000139698,320.2382499584928,61.0
1697923560,4,POST,/api/v0/user/adventures,0.666667,0.000000,250,250,260,260,260,260,260,260,260,260,260,4,0,250.0,225.6106249988079,71.03125000139698,320.2382499584928,61.0
1697923560,4,,Aggregated,0.666667,0.000000,260,260,320,320,320,320,320,320,320,320,320,4,0,250.0,225.6106249988079,71.03125000139698,320.2382499584928,61.0
1697923561,4,POST,/api/v0/user/adventures,0.600000,0.000000,71,240,250,250,260,260,260,260,260,260,260,8,0,71,166.17811450123554,60.64191699260846,320.2382499584928,61.0
1697923561,4,,Aggregated,0.600000,0.000000,240,250,260,260,320,320,320,320,320,320,320,8,0,71,166.17811450123554,60.64191699260846,320.2382499584928,61.0
1697923562,5,POST,/api/v0/user/adventures,0.666667,0.000000,71,240,250,250,260,260,260,260,260,260,260,9,0,71,155.47499533406355,60.64191699260846,320.2382499584928,61.0
1697923562,5,,Aggregated,0.666667,0.000000,71,240,250,260,320,320,320,320,320,320,320,9,0,71,155.47499533406355,60.64191699260846,320.2382499584928,61.0
1697923563,5,POST,/api/v0/user/adventures,0.666667,0.000000,71,240,240,250,260,260,260,260,260,260,260,10,0,71,163.43335830024444,60.64191699260846,320.2382499584928,61.0
1697923563,5,,Aggregated,0.666667,0.000000,240,240,250,260,320,320,320,320,320,320,320,10,0,71,163.43335830024444,60.64191699260846,320.2382499584928,61.0
1697923564,6,POST,/api/v0/user/adventures,1.000000,0.000000,70,240,240,240,250,260,260,260,260,260,260,12,0,70,147.43936808372382,60.64191699260846,320.2382499584928,61.0
1697923564,6,,Aggregated,1.000000,0.000000,71,240,250,250,260,320,320,320,320,320,320,12,0,70,147.43936808372382,60.64191699260846,320.2382499584928,61.0
1697923565,6,POST,/api/v0/user/adventures,1.111111,0.000000,70,230,240,240,250,260,260,260,260,260,260,15,0,70,141.54544453291842,60.64191699260846,320.2382499584928,61.0
1697923565,6,,Aggregated,1.111111,0.000000,70,230,240,240,250,260,260,260,260,260,260,15,0,70,141.54544453291842,60.64191699260846,320.2382499584928,61.0
