Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v0/user/adventures,107922,380,140.0,248.0524252603132,48.559874994680285,7272.044249984901,9018.148551731807,89.95499346461177,0.31673706488531045,140,260,360,430,610,730,860,960,1300,4400,7300
,Aggregated,107922,380,140.0,248.0524252603132,48.559874994680285,7272.044249984901,9018.148551731807,89.95499346461177,0.31673706488531045,140,260,360,430,610,730,860,960,1300,4400,7300
