Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v0/user/adventures,113881,49,66,79.78981380172759,49.947458028327674,11847.929959010798,61.0,94.92171870919803,0.0408423197614238,66,71,75,80,98,140,240,260,460,4900,12000
,Aggregated,113881,49,66,79.78981380172759,49.947458028327674,11847.929959010798,61.0,94.92171870919803,0.0408423197614238,66,71,75,80,98,140,240,260,460,4900,12000
